Japanese,English
の,of
に,To
する,Make
は,It is
を,The
た,It was
が,But
年,Year
と,When
て,hand
で,so
だ,I
れる,It is
月,Month
いる,Are
ある,is there
日,Day
も,Also
から,From
なる,Become
ない,Absent
こと,thing
第,The
として,As
や,Ya
市,city
県,Prefecture
者,Person
など,Such
日本,Japan
人,Man
ため,For
駅,station
この,this
的,Target
られる,It is
その,That
町,town
へ,What
後,rear
まで,Until
よう,Yo
放送,broadcast
号,issue
名,Name
中,During ~
という,That
また,Also
もの,thing
行う,Do
一,one
回,Times
部,Part
時,Time
家,House
か,Or
リンク,Link
村,village
郡,county
学校,school
より,Than
できる,it can
線,line
おる,Oru
昭和,Showa
東京,Tokyo
番組,program
大,Big
により,By
会,Meeting
外部,Outside
現在,the current
画像,image
ぬ,Unexpected
区,Ward
による,by
二,two
国,Country
テレビ,TV set
世界,world
関連,Relation
三,three
化,Of
せる,Cell
前,Before
映画,movies
によって,By
作品,the work
時代,Era
これ,this
位,Place
版,Edition
数,number
賞,award
本,Book
型,Mold
州,state
分,Minute
上,Up
話,Story
元,Origin
登場,Appearance
間,while
社,Company
局,Bureau
項目,item
出演,Performance
平成,Peace
地,Earth
目,Eye
道,the way
曲,Tune
使用,use
他,other
持つ,To have
場合,Case
性,sex
監督,directed by
軍,army
発売,Sale
選手,player
新,new
大学,University
戦,War
ば,Place
代表,representative
所,Place
活動,Activity
研究,the study
呼ぶ,Call
機,Machine
系,system
う,Cormorant
内,The inner
情報,information
さ,Sa
多い,Many
について,about
次,Next
鉄道,Railway
脚注,footnote
等,etc
において,In
時間,time
主,main
チーム,team
それ,It
初,First
のみ,only
万,Ten thousand
シリーズ,series
その後,afterwards
所属,Belongs
役,Role
受ける,receive
科,Department
作曲,Composition
出身,Graduate
高等,Higher
開始,start
場,Place
公式,official
学,Manabu
しかし,However
アメリカ,America
存在,Existence
くる,come
作,Work
車,car
大会,Tournament
人物,person
たち,Us
形,form
ゲーム,game
一覧,List
語,word
バス,bus
株式会社,"CO., LTD"
法,Act
歳,age
大阪,Osaka
いう,Say
音楽,musics
お,Contact
同,same
当時,at that time
事業,business
歴史,history
可能,Possible
教育,education
式,formula
一部,part
見る,to see
約,about
小学校,primary school
出場,Participation
ドラマ,Drama
全,all
国際,international
地域,area
